
  Page anchor parity — 320 page renders (20 universes × 8 pages × 2 viewports) — commit 45569d9a, the fix, rendered from page-anchor-parity.json

  ✅ PASS  1440  amalfi     our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  amalfi     celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  amalfi     rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  amalfi     registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  amalfi     music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  amalfi     stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  amalfi     transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  sedona     home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  sedona     our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  sedona     celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  sedona     rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  sedona     registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  sedona     music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  sedona     stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  sedona     transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  aspen      home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  aspen      our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  aspen      celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  aspen      rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  aspen      registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  aspen      music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  aspen      stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  aspen      transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  taj        home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  taj        our-story    anchor=left   mark:left@340 paragraph:left@340
  ✅ PASS  1440  taj        celebration  anchor=left   mark:left@232 heading:left@232
  ✅ PASS  1440  taj        rsvp         anchor=left   mark:left@460 heading:left@460 paragraph:left@460
  ✅ PASS  1440  taj        registry     anchor=left   mark:left@370 paragraph:left@370
  ✅ PASS  1440  taj        music        anchor=left   mark:left@320 paragraph:left@320
  ✅ PASS  1440  taj        stay         anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  taj        transport    anchor=left   mark:left@290 paragraph:left@290
  ✅ PASS  1440  havana     home         anchor=left   mark:left@360 heading:left@360 paragraph:left@360 quote:left@360
  ✅ PASS  1440  havana     our-story    anchor=left   mark:left@340 paragraph:left@340
